ID,Title of the publication,Author full names,Source title,doi,Year,Applications category,Name/s of the crop,Scientific name/s
200,Protein bread fortification with cumin and caraway seeds and by-product flour,Ahmad B.S.; Talou T.; Straumite E.; Sabovics M.; Kruma Z.; Saad Z.; Hijazi A.; Merah O.,Foods,10.3390/foods7030028,2018,Food and nutrition,Cumin and caraway,"Cuminum cyminum L., Carum carvi L."
201,Pharmacological and phytochemical properties of kaitha (Feronia limonia L.): A review,Srivastava R.; Mishra N.; Agarwal S.; Mishra N.,Plant Archives,,2019,Food and nutrition,Kaitha,Feronia limonia L.
202,Influence of rye flour enzymatic biotransformation on the antioxidant capacity and transepithelial transport of phenolic acids,De Lima F.A.; Martins I.M.; Faria A.; Calhau C.; Azevedo J.; Fernandes I.; Mateus N.; Macedo G.A.,Food and Function,10.1039/c7fo01645j,2018,Food and nutrition,Rye,
203,Polyphenol contents and antioxidants activities of biscuits produced from ginger-enriched pigeon pea–wheat composite flour blends,Gbenga-Fabusiwa F.J.; Oladele E.P.; Oboh G.; Adefegha S.A.; Oshodi A.A.,Journal of Food Biochemistry,10.1111/jfbc.12526,2018,Food and nutrition,Pigeon pea,
204,Effect of roasting on the nutritional value and antioxidant components of Maya nut (Brosimum alicastrum: Moraceae); [Efecto del tostado sobre el valor nutricio y componentes antioxidantes de la semilla de capomo (Brosimum alicastrum: Moraceae)],del Carmen Quintero-Hilario C.; Esparza-Torres F.; del Rosario García-Mateos Ma.; Carmen Ybarra-Moncada Ma.; Hernández-Ramos L.,"Revista Chapingo, Serie Horticultura",10.5154/r.rchsh.2019.03.007,2019,Food and nutrition,Maya nut,Brosimum alicastrum: Moraceae
205,Nutritional characterization of Prosopis laevigata legume tree (mesquite) seed flour and the effect of extrusion cooking on its bioactive components,Díaz-Batalla L.; Hernández-Uribe J.P.; Gutiérrez-Dorado R.; Téllez-Jurado A.; Castro-Rosas J.; Pérez-Cadena R.; Gómez-Aldapa C.A.,Foods,10.3390/foods7080124,2018,Food and nutrition,Mesquite,Prosopis laevigata
206,"Vigna khandalensis (Santapau) Raghavan et Wadhwa: a promising underutilized, wild, endemic legume of the Northern Western Ghats, India",Umdale S.D.; Chavan J.J.; Ahire M.L.; Kshirsagar P.R.; Gaikwad N.B.; Bhat K.V.,Genetic Resources and Crop Evolution,10.1007/s10722-018-0657-y,2018,Food and nutrition,"Ranmung’, ‘Jungli mung’ or ‘Badamung’",Vigna khandalensis (Santapau) Raghavan et Wadhwa
207,"Origin and diversification of winged bean (Psophocarpus tetragonolobus (L.) DC.), a multipurpose underutilized legume",Yang S.; Grall A.; Chapman M.A.,American Journal of Botany,10.1002/ajb2.1093,2018,Food and nutrition,Winged bean,Psophocarpus tetragonolobus (L.) DC.
208,"Nutritional compositions, polyphenolic profiles and antioxidant properties of pigmented rice varieties and adlay seeds enhanced by soaking and germination conditions",Owolabi I.O.; Saibandith B.; Wichienchot S.; Yupanqui C.T.,Functional Foods in Health and Disease,10.31989/ffhd.v8i12.564,2018,Food and nutrition,Adlay,
209,Changes in some antinutritional components and in vitro multienzymes protein digestibility during hydrothermal processing of cassia hirsutta,Ojo M.A.,Preventive Nutrition and Food Science,10.3746/pnf.2018.23.2.152,2018,Food and nutrition,,Cassia hirsutta
210,Production of omega 3-rich oils from underutilized chia seeds. Comparison between supercritical fluid and pressurized liquid extraction methods,Villanueva-Bermejo D.; Calvo M.V.; Castro-Gómez P.; Fornari T.; Fontecha J.,Food Research International,10.1016/j.foodres.2018.10.085,2019,Food and nutrition,Chia seeds,
211,An in vitro seed germination protocol for Plukenetia volubilis L,Kodahl N.; García-Dávila C.R.; Cachique D.; Sørensen M.; Lütken H.,Acta Horticulturae,10.17660/ActaHortic.2018.1201.73,2018,Food and nutrition,Plukenetia,Plukenetia volubilis L
212,"Content of Selected Vitamins and Antioxidants in Colored and Nonpigmented Varieties of Quinoa, Barley, and Wheat Grains",Granda L.; Rosero A.; Benešová K.; Pluhá?ková H.; Neuwirthová J.; Cerkal R.,Journal of Food Science,10.1111/1750-3841.14334,2018,Food and nutrition,Quinoa,
213,Fatty acid and unsaponifiable composition of ten philippine food plant oils for possible nutraceutical and cosmeceutical applications,Rodriguez E.; Salangad O.; Almeda R.; Reyes C.; Salamanez K.,Agriculture and Forestry,10.17707/AgricultForest.65.3.10,2019,Food and nutrition,Carabao mango,
214,"Effects of fermentation on proximate composition, mineral profile and antinutrients of tamarind (Tamarindus indica L.) seed in the production of daddawa-type condiment",Olagunju O.F.; Ezekiel O.O.; Ogunshe A.O.; Oyeyinka S.A.; Ijabadeniyi O.A.,LWT,10.1016/j.lwt.2017.12.064,2018,Food and nutrition,Tamarind,Tamarindus indica L
215,Phenotypic diversity for agro-morphological traits in pigeon pea landraces [(Cajanus cajan L.) Millsp.] cultivated in southern Benin,Zavinon F.; Adoukonou-Sagbadja H.; Bossikponnon A.; Dossa H.; Ahanhanzo C.,Open Agriculture,10.1515/opag-2019-0046,2019,Food and nutrition,Pigeon pea,Cajanus cajan L.) Millsp.
216,Symbiotic N2 fixation and grain yield of endangered kersting's groundnut landraces in response to soil and plant associated bradyrhizobiuminoculation to promote ecological resource-use efficiency,Mohammed M.; Jaiswal S.K.; Sowley E.N.K.; Ahiabor B.D.K.; Dakora F.D.,Frontiers in Microbiology,10.3389/fmicb.2018.02105,2018,Food and nutrition,Kersting's groundnut,Macrotyloma geocarpum Harms
217,Jackfruit seed: An accompaniment to functional foods; [Semente de jaca: Um acompanhamento para alimentos funcionais],Waghmare R.; Memon N.; Gat Y.; Gandhi S.; Kumar V.; Panghal A.,Brazilian Journal of Food Technology,10.1590/1981-6723.20718,2019,Food and nutrition,Jackfruit,Artocarpus heterophyllus
218,"Initial evaluation of fruit of accessions of Persea schiedeana Nees for nutritional value, quality and oil extraction",López-Yerena A.; Guerra-Ramírez D.; Jácome-Rincón J.; Espinosa-Solares T.; Reyes-Trejo B.; Famiani F.; Cruz-Castillo J.G.,Food Chemistry,10.1016/j.foodchem.2017.11.088,2018,Food and nutrition,,Persea schiedeana Nees
219,Valorization of underutilized North American pawpaw (Asimina triloba): investigation as a lipid oxidation inhibitor in turkey homogenate model system,Brannan R.G.; Peters T.E.; Black K.J.; Kukor B.J.,Journal of the Science of Food and Agriculture,10.1002/jsfa.8706,2018,Food and nutrition,Pawpaw,Asimina triloba
220,"Design, fabrication, and testing of a pulper for Kendu (Diospyros melanoxylon Roxb.)",Hmar B.Z.; Mishra S.; Pradhan R.C.,Journal of Food Process Engineering,10.1111/jfpe.12642,2018,Food and nutrition,Kendu,Diospyros melanoxylon Roxb
221,"QTL analysis of domestication syndrome in zombi pea (Vigna vexillata), an underutilized legume crop",Dachapak S.; Tomooka N.; Somta P.; Naito K.; Kaga A.; Srinives P.,PLoS ONE,10.1371/journal.pone.0200116,2018,Food and nutrition,Zombi pea,Vigna vexillata (L.) A. Rich
222,Development of omega-3-rich Camelina sativa seed oil emulsions,Belayneh H.D.; Wehling R.L.; Zhang Y.; Ciftci O.N.,Food Science and Nutrition,10.1002/fsn3.572,2018,Food and nutrition,,Camelina sativa
223,Fruit morphometric and RAPD evaluation of intraspecific variability in some accessions of African yam bean (Sphenostylis stenocarpa Hochst. ex. A. Rich. Harms),Popoola J.O.; Adebayo B.M.; Adegbite A.E.; Omonhinmin A.C.; Adewale B.D.,Annual Research and Review in Biology,10.9734/ARRB/2017/34264,2017,Food and nutrition,African yam bean,Sphenostylis stenocarpa
224,Quality assessment of sweet snack from Garden cress (Lepidium sativum L.) seeds—An unexplored health grain,Doke S.; Chetana R.; Guha M.,Journal of Food Processing and Preservation,10.1111/jfpp.13431,2018,Food and nutrition,Garden cress seed,Lepidium sativum L
225,"Chuta (edible Jatropha curcas L.), the newcomer among underutilized crops: a rich source of vegetable oil and protein for human consumption",Senger E.; Bohlinger B.; Esgaib S.; Hernández-Cubero L.C.; Montes J.M.; Becker K.,European Food Research and Technology,10.1007/s00217-016-2814-x,2017,Food and nutrition,Chuta,Jatropha curcas L.
226,Impact of hydrothermal techniques on the chemical components of Mallotus subulatus,Ojo M.A.; Ade-Omowaye B.I.; Ngoddy P.O.,Pakistan Journal of Nutrition,10.3923/pjn.2017.813.825,2017,Food and nutrition,,Mallotus subulatus
227,Surface modification of cellulose isolated from Sesamun indicum underutilized seed: A means of enhancing cellulose hydrophobicity,Adewuyi A.; Pereira F.V.,Journal of Science: Advanced Materials and Devices,10.1016/j.jsamd.2017.07.007,2017,Food and nutrition,Sesame,Sesamun indicum 
228,Effect of soaking and germination on physicochemical and functional attributes of horsegram flour,Handa V.; Kumar V.; Panghal A.; Suri S.; Kaur J.,Journal of Food Science and Technology,10.1007/s13197-017-2892-1,2017,Food and nutrition,Horsegram,
229,Characterization of xylan from rice bran and finger millet seed coat for functional food applications,Palaniappan A.; Yuvaraj S.S.; Sonaimuthu S.; Antony U.,Journal of Cereal Science,10.1016/j.jcs.2017.03.032,2017,Food and nutrition,Finger millet,
230,The scope for adaptation of quinoa in Northern Latitudes of Europe,Jacobsen S.-E.,Journal of Agronomy and Crop Science,10.1111/jac.12228,2017,Food and nutrition,Quinoa,Chenopodium quinoa
231,"Agrodiversity, peasant management and importance of Dioscorea praehensilis Benth. In the Subhumid Zone of Togo; [Agrodiversite, gestion paysanne et importance de Dioscorea praehensilis Benth. Dans La Zone subhumide du Togo]",Pitalounani W.E.-N.; Dourma M.; Wala K.; Woegan Y.; Gbogbo A.; Batawila K.; Dansi A.; Tozo K.; Akpagana K.,"African Journal of Food, Agriculture, Nutrition and Development",10.18697/ajfand.79.15930,2017,Food and nutrition,Bayere,Dioscorea praehensilis Benth
232,Processing effects of soaking and hydrothermal methods on the components and in vitro protein digestibility of Canavalia ensiformis,Ojo M.A.; Ade-Omowaye B.I.O.; Ngoddy P.O.,International Food Research Journal,,2018,Food and nutrition,,Canavalia ensiformis
233,"Application of high resolution NMR, FTIR, and GC–MS to a comparative study of some indigenous seed oils from Botswana",Yeboah E.M.O.; Kobue-Lekalake R.I.; Jackson J.C.; Muriithi E.N.; Matenanga O.; Yeboah S.O.,Innovative Food Science and Emerging Technologies,10.1016/j.ifset.2017.05.004,2017,Food and nutrition,"Morama, mungongo, mungongo, mogose.","Tylosema esculentum (morama), Schinziophyton rautanenii (mungongo), Citrullus lanatus (kgengwe) and Bauhinia petersiana (mogose)"
234,"Agromorphological, nutritional and antioxidant properties in horsegram [macrotyloma uniflorum (Lam.) verdc.] germplasm collection from diverse altitudinal range of north western Himalayan hills of India",Bhartiya A.; Aditya J.P.; Pal R.S.; Bajeli J.,Vegetos,10.5958/2229-4473.2017.00014.3,2017,Food and nutrition,Horsegram,macrotyloma uniflorum (Lam.) verdc
235,Fonio (Digitaria exilis (Kippist) Stapf): A socially embedded cereal for food and nutrion security in Senegal,Diop B.M.; Gueye M.C.; Agbangba C.E.; Cissé N.; Deu M.; Diack O.; Fofana A.; Kane N.A.; Ndir K.N.; Ndoye I.; Ngom A.; Leclerc C.; Piquet M.; Vigouroux Y.; Zekraoui L.; Billot C.; Barnaud A.,Ethnobiology Letters,10.14237/ebl.9.2.2018.1072,2018,Food and nutrition,White fonio,Digitaria exilis
236,Optimization of Postharvest Conditions to Produce Chocolate Aroma from Jackfruit Seeds,Spada F.P.; Zerbeto L.M.; Ragazi G.B.C.; Gutierrez E.M.R.; Souza M.C.; Parker J.K.; Canniatti-Brazaca S.G.,Journal of Agricultural and Food Chemistry,10.1021/acs.jafc.6b04836,2017,Food and nutrition,Jackfruit,
237,"Effect of temperature, light and sowing depth on seed germination of celosia Argentea L",Adegbaju O.D.; Otunola G.A.; Afolayan A.J.,Asian Journal of Plant Sciences,10.3923/ajps.2018.47.55,2018,Food and nutrition,,Celosia argentea
238,Structural and functional properties of Buchholzia coriacea seed flour and protein concentrate at different pH and protein concentrations,Ijarotimi O.S.; Malomo S.A.; Fagbemi T.N.; Osundahunsi O.F.; Aluko R.E.,Food Hydrocolloids,10.1016/j.foodhyd.2017.08.018,2018,Food and nutrition,Cola,Buchholzia coriacea
239,"Characterization of the seed proteins of African locust bean (Parkia biglobosa), African breadfruit (Treculia africana) and soybean (Glycine max)",Akin-Idowu P.E.; Egbekunle K.O.; Akinyemi S.O.S.; Orkpeh U.,Acta Horticulturae,10.17660/ActaHortic.2018.1225.59,2018,Food and nutrition,"African locust bean, African breadfruit, soybean","Parkia biglobosa, Treculia africana, Glycine max"
240,Does social distinction contribute to socioeconomic inequalities in diet: The case of 'superfoods' consumption,Oude Groeniger J.; van Lenthe F.J.; Beenackers M.A.; Kamphuis C.B.M.,International Journal of Behavioral Nutrition and Physical Activity,10.1186/s12966-017-0495-x,2017,Food and nutrition,"Spelt, quinoa and goji berries, chia or wheatgrass",
241,The effect of thermal processing on the protein quality of Monodora myristica (Gaertn.) dunal seeds,Agiriga A.N.; Muthulisi S.,"Acta Scientiarum Polonorum, Technologia Alimentaria",10.17306/J.AFS.2018.0588,2018,Food and nutrition,Dunal,Monodora myristica (Gaertn.) 
242,The Biorefinery Concept for the Industrial Valorization of Grape Processing By-Products,Dávila I.; Robles E.; Egüés I.; Labidi J.; Gullón P.,Handbook of Grape Processing By-Products: Sustainable Solutions,10.1016/B978-0-12-809870-7.00002-8,2017,Food and nutrition,Grapes,
243,Effect of gamma irradiation on the nutritional and antinutritional qualities of Vigna aconitifolia (Jacq.) Marechal: An underutilized food legume,Tresina P.S.; Paulpriya K.; Mohan V.R.; Jeeva S.,Biocatalysis and Agricultural Biotechnology,10.1016/j.bcab.2017.02.002,2017,Food and nutrition,Marechal,Vigna aconitifolia
244,Grain and forage legumes: Nutritional value and agriculture sustainability,Beltrán J.P.; Cañas L.A.,Methods in Molecular Biology,10.1007/978-1-4939-8633-0_1,2018,Food and nutrition,,Medicago truncatula
245,The silymarin composition… and why does it matter???,Chambers C.S.; Hole?ková V.; Petrásková L.; Biedermann D.; Valentová K.; Buchta M.; K?en V.,Food Research International,10.1016/j.foodres.2017.07.017,2017,Food and nutrition,Silymarin,Silybum marianum (L.)
246,The influence of microwave cooking on the nutritional composition and antioxidant activity of the underutilized perah seed,Li K.S.; Ali A.; Muhammad I.I.,"Acta Scientiarum Polonorum, Technologia Alimentaria",10.17306/J.AFS.0497,2017,Food and nutrition,Perah,
247,"Effect of addition of jackfruit seed flour on nutrimental, phytochemical and sensory properties of snack bar",Meethal S.M.; Kaur N.; Singh J.; Gat Y.,Current Research in Nutrition and Food Science,10.12944/CRNFSJ.5.2.12,2017,Food and nutrition,Jackfruit,
248,Floral morphology of Eleaegnus latifolia L,Rymbai H.; Deshmukh N.A.; Roy A.R.; Roy S.S.; Jha A.K.,Indian Journal of Horticulture,10.5958/0974-0112.2017.00068.8,2017,Food and nutrition,,Eleaegnus latifolia L
249,Subcritical fluid extraction of Chinese quince seed: Optimization and product characterization,Wang L.; Wu M.; Liu H.-M.; Ma Y.-X.; Wang X.-D.; Qin G.-Y.; Yang Y.,Molecules,10.3390/molecules22040528,2017,Food and nutrition,Chinese quince seed,
250,Spermatotoxicity and testicular pathology in wistar strain rats fed graded levels of pigeon pea diet,Soetan K.O.; Ajani O.S.; Akinsulie O.C.; Tijani M.O.,Nigerian Journal of Physiological Sciences,,2018,Food and nutrition,Pigeon pea,
251,Nutritional and antinutritional evaluation of indigenous Ethiopian okra (Abelmoschus Esculentus) seed accessions,Habtamu F.G.; Haki G.D.; Fekadu B.; Rakshit S.K.; Ashagrie Z.W.,"African Journal of Food, Agriculture, Nutrition and Development",10.18697/ajfand.81.16515,2018,Food and nutrition,Ethiopian okra,Abelmoschus Esculentus
252,Dating the beginning of the Roman viticultural model in the Western Mediterranean: The case study of Chianti (Central Italy),Aversano R.; Basile B.; Buonincontri M.P.; Carucci F.; Carputo D.; Frusciante L.; Di Pasquale G.,PLoS ONE,10.1371/journal.pone.0186298,2017,Food and nutrition,Grapevine,Vitis vinifera L.
253,Phenotypic characterization of diverse Bambara groundnut (Vigna subterranea [L.] Verdc.) germplasm collections through seed morphology,Mohammed M.S.; Shimelis H.A.; Laing M.D.,Genetic Resources and Crop Evolution,10.1007/s10722-016-0374-3,2016,Food and nutrition,Bambara groundnut,Vigna subterranea [L.] Verdc.
254,Flax bio-village concept,Hegde M.V.; Zanwar A.A.; Ghorpade P.B.,Omega-3 Fatty Acids: Keys to Nutritional Health,10.1007/978-3-319-40458-5_2,2016,Food and nutrition,Linseed,
255,Indigenous knowledge and agro-morphological evaluation of the minor crop Kersting’s groundnut (Macrotyloma geocarpum (Harms) Maréchal et Baudet) cultivars of Benin,Assogba P.; Ewedje E.-E.B.K.; Dansi A.; Loko Y.L.; Adjatin A.; Dansi M.; Sanni A.,Genetic Resources and Crop Evolution,10.1007/s10722-015-0268-9,2016,Food and nutrition,Kersting’s groundnut / Doyi,Macrotyloma geocarpum
256,"Progress in bambara groundnut research in Ghana: Breeding, agronomy and utilization",Adu-Dapaah H.; Berchie J.N.; Amoah S.; Addo J.K.; Akuamoah-Boateng M.,Acta Horticulturae,10.17660/ActaHortic.2016.1127.1,2016,Food and nutrition,Bambara groundnut,
257,Studies on seed germination and seedling behaviour of Indian HOG-plum {Spondias pinnata) in response to different pre-sowing treatments,Dey K.; Ghosh A.; Dey A.N.; Bhowmick N.; Baurl F.K.,Seed Science and Technology,10.15258/sst.2016.44.3.15,2016,Food and nutrition,HOG-plum,Spondias pinnata
258,"Effects of Cooking and Fermentation on the Chemical Composition, Functional Properties and Protein Digestibility of Sandbox (Hura Crepitans) Seeds",Osungbade O.R.; Gbadamosi O.S.; Adiamo O.Q.,Journal of Food Biochemistry,10.1111/jfbc.12273,2016,Food and nutrition,Sandbo,Hura crepitans
259,Identification of gene modules associated with low temperatures response in bambara groundnut by network-based analysis,Bonthala V.S.; Mayes K.; Moreton J.; Blythe M.; Wright V.; May S.T.; Massawe F.; Mayes S.; Twycross J.,PLoS ONE,10.1371/journal.pone.0148771,2016,Food and nutrition,Bambara groundnut,Vigna subterranea (L.) Verdc
260,General histochemistry and enzyme cytochemistry of the female reproductive structure of psophocarpus tetragonolobus (L.) Dc.,Koshy E.P.; Alex B.K.; John P.,Vegetos,10.5958/2229-4473.2015.00078.6,2015,Food and nutrition,Winged bean,Psophocarpus tetragonolobus
261,Vernacular names for African millets and other minor cereals and their significance for agricultural history,Blench R.M.,Archaeological and Anthropological Sciences,10.1007/s12520-012-0104-5,2016,Food and nutrition,"Small millets, notably fonio, iburu, ?ef",
262,Extraction optimization of polyphenols from waste kiwi fruit seeds (Actinidia chinensis Planch.) and evaluation of its antioxidant and anti-inflammatory properties,Deng J.; Liu Q.; Zhang C.; Cao W.; Fan D.; Yang H.,Molecules,10.3390/molecules21070832,2016,Food and nutrition,Kiwi fruit,Actinidia chinensis Planch
263,Achievements and prospects of grass pea (Lathyrus sativus L.) improvement for sustainable food production,Dixit G.P.; Parihar A.K.; Bohra A.; Singh N.P.,Crop Journal,10.1016/j.cj.2016.06.008,2016,Food and nutrition,Grass pea,Lathyrus sativus L.
264,"Functional, physicochemical and sensory properties of novel cookies produced by utilizing underutilized jering (Pithecellobium jiringa Jack.) legume flour",Cheng Y.F.; Bhat R.,Food Bioscience,10.1016/j.fbio.2016.03.002,2016,Food and nutrition,Jering seed,Pithecellobium jiringa Jack
265,Improving winged bean (Psophocarpus tetragonolobus) productivity: An analysis of the determinants of productivity,Wong Q.N.; Massawe F.; Mayes S.,Acta Horticulturae,10.17660/ActaHortic.2015.1102.9,2015,Food and nutrition,Winged bean ,Psophocarpus tetragonolobu
266,Some Agronomic Strategies for Organic Quinoa (Chenopodium quinoa Willd.),Jacobsen S.-E.; Christiansen J.L.,Journal of Agronomy and Crop Science,10.1111/jac.12174,2016,Food and nutrition,Quinoa,Chenopodium quinoa Willd.
267,Genotype × environment influence on African yam bean (Sphenostylis stenocarpa) antinutrients,Adesoye A.; Oluyede T.,Nutrition and Food Science,10.1108/NFS-06-2015-0076,2015,Food and nutrition,African yam bean,Sphenostylis stenocarpa
268,Nutritional profile of an underutilized Indian fruit: Rayan [Manilkara hexandra (Roxb.) Dubard],Parikh B.; Shukla Y.M.; Patel V.H.,Indian Journal of Agricultural Biochemistry,10.5958/0974-4479.2016.00009.5,2016,Food and nutrition,Rayan,Manilkara hexandra (Roxb.) Dubard
269,"Effect of processing methods on compositional evaluation of underutilized legume, Parkia roxburghii G. Don (yongchak) seeds",Sathya A.; Siddhuraju P.,Journal of Food Science and Technology,10.1007/s13197-015-1732-4,2015,Food and nutrition,,Parkia roxburghii
270,"Fatty acids, minerals, phenolics and vitamins in the seeds of Inocarpus fagifer, a Pacific Island underutilized legume",Huml L.; Miksatkova P.; Novy P.; Drabek O.; Sabolova M.; Umar M.; Tejnecky V.; Pohorela B.; Kourimska L.; Maskova E.; Tulin A.; Lapcik O.; Kokoska L.,Journal of Applied Botany and Food Quality,10.5073/JABFQ.2016.089.034,2016,Food and nutrition,,Inocarpus fagifer
271,Chemical and antioxidant profiles of acorn tissues from Quercus spp.: Potential as new industrial raw materials,Vinha A.F.; Costa A.S.G.; Barreira J.C.M.; Pacheco R.; Oliveira M.B.P.P.,Industrial Crops and Products,10.1016/j.indcrop.2016.08.027,2016,Food and nutrition,Acorns,Quercus spp
272,Evaluation of antimicrobial activity of Algerian Lemon(Citrus limon L.) peels and seeds extracts,Halima-Mansour S.; Allem R.,Der Pharma Chemica,,2016,Food and nutrition,Lemon,Citrus limon L
273,Nutritional and sensory evaluation of injera prepared from tef and Eragrostis curvula (Schrad.) nees. flours with sorghum blends,Ghebrehiwot H.M.; Shimelis H.A.; Kirkman K.P.; Laing M.D.; Mabhaudhi T.,Frontiers in Plant Science,10.3389/fpls.2016.01059,2016,Food and nutrition,Tef,Eragrostis curvula (Schrad.) Nees.
274,Novel in situ evaluation of the role minerals play in the development of the hard-to-cook (HTC) defect of cowpeas and its effect on the in vitro mineral bioaccessibility,Kruger J.; Minnis-Ndimba R.; Mtshali C.; Minnaar A.,Food Chemistry,10.1016/j.foodchem.2014.10.134,2015,Food and nutrition,Cowpea,
275,"Antioxidant activity, total phenols and phytochemical constituents of four underutilised tropical fruits",Boakye A.A.; Wireko-Manu F.D.; Agbenorhevi J.K.; Oduro I.,International Food Research Journal,,2015,Food and nutrition,"African mango, breadfruit, soursop, sweetsop","Irvingia gabonensis, Artocarpus altilis, Annona muricata, Annona squamosa  "
276,Physicochemical and sensory quality evaluation of chapati (Indian flat bread) produced by utilizing underutilized jering (Pithecellobium jiringa Jack.) legume and wheat composite flours,Cheng Y.F.; Bhat R.,International Food Research Journal,,2015,Food and nutrition,Jering ,Pithecellobium jiringa Jack
277,Extraction of omega-3-rich oil from Camelina sativa seed using supercritical carbon dioxide,Belayneh H.D.; Wehling R.L.; Cahoon E.; Ciftci O.N.,Journal of Supercritical Fluids,10.1016/j.supflu.2015.06.002,2015,Food and nutrition,,Camelina sativa
278,Microwave extraction of antioxidant compounds in dry seeds of copoazú,Herrera Y.M.; Hernández M.S.; Gutiérrez R.H.,Acta Horticulturae,10.17660/ActaHortic.2014.1047.44,2014,Food and nutrition,Copoazú,Theobroma grandiflorum
279,Construction of an SSR and RAD-marker based molecular linkage map of Vigna vexillata (L.) A. Rich,Marubodee R.; Ogiso-Tanaka E.; Isemura T.; Chankaew S.; Kaga A.; Naito K.; Ehara H.; Tomooka N.,PLoS ONE,10.1371/journal.pone.0138942,2015,Food and nutrition,Tuber cowpea,Vigna vexillata (L.) A. Rich
280,"Flavonol content, oil%, and fatty acid composition variability in seeds of Teramnus labialis and T. uncinatus accessions with nutraceutical potential",Morris J.B.; Tonnis B.; Wang M.L.,Journal of Dietary Supplements,10.3109/19390211.2014.937048,2014,Food and nutrition,,Teramnus labialis
281,Yellow or White Mustard (Sinapis alba L.) Oils,Ekanayake A.; Strife R.J.; Zehentbauer G.N.; David J.R.D.,"Essential Oils in Food Preservation, Flavor and Safety",10.1016/B978-0-12-416641-7.00098-5,2015,Food and nutrition,Yellow or White Mustard,Sinapis alba L.
282,"Nutritional, food and energy value of Perilla frutescens: An underutilised traditional oilseed crop of Western Himalaya, India",Dhyani D.; Dhyani S.,Agro Food Industry Hi-Tech,,2014,Food and nutrition,Bhangjeera,Perilla frutescens
283,A holistic approach to enhance the use of neglected and underutilized species: The case of andean grains in Bolivia and Peru,Padulosi S.; Amaya K.; Jäger M.; Gotor E.; Rojas W.; Valdivia R.,Sustainability (Switzerland),10.3390/su6031283,2014,Food and nutrition,Andean grains,
284,Parameterization and Field Validation of Saltmed Model for Grain Amaranth Tested in South Italy,Pulvento C.; Riccardi M.; Lavini A.; D'Andria R.; Ragab R.,Irrigation and Drainage,10.1002/ird.1905,2015,Food and nutrition,Andean crop,Grain amaranth
285,"Swedish coffee (Astragalus boeticus L.), a neglected coffee substitute with a past and a potential future",Prohens J.; Andújar I.; Vilanova S.; Plazas M.; Gramazio P.; Prohens R.; Herraiz F.J.; De Ron A.M.,Genetic Resources and Crop Evolution,10.1007/s10722-013-0059-0,2014,Food and nutrition,Swedish coffee,Astragalus boeticus
286,Physicochemical properties of tamarillo (Solanum betaceum Cav.) hydrocolloid fractions,Gannasin S.P.; Adzahan N.M.; Hamzah M.Y.; Mustafa S.; Muhammad K.,Food Chemistry,10.1016/j.foodchem.2015.03.010,2015,Food and nutrition,Tamarillo ,Solanum betaceum Cav.
287,Resveratrol content and antioxidant properties of underutilized fruits,Shrikanta A.; Kumar A.; Govindaswamy V.,Journal of Food Science and Technology,10.1007/s13197-013-0993-z,2015,Food and nutrition,"Jamun, jackfruit, mulberry  ","Syzygium cumini L., Artocarpus heterophyllus,   Morus rubra"
288,"Fatty acid composition and lipid profile of diospyros mespiliformis, Albizia lebbeck, and Caesalpinia pulcherrima seed oils from Nigeria",Adewuyi A.; Oderinde R.A.,International Journal of Food Science,10.1155/2014/283614,2014,Food and nutrition,,"Diospyros mespiliformi, Albizia lebbeck ,Caesalpinia pulcherrima"
289,Extraction optimization and functional properties of proteins from Kiwi fruit(Actinidia chinensis Planch.) seeds,Deng J.; Sun T.; Cao W.; Fan D.; Cheng N.; Wang B.; Gao H.; Yang H.,International Journal of Food Properties,10.1080/10942912.2013.772197,2014,Food and nutrition,Kiwi fruit,Actinidia chinensis Planch
290,Preparatory separation of the silymarin flavonolignans by Sephadex LH-20 gel,K?enek K.; Marhol P.; Peikerová Ž.; K?en V.; Biedermann D.,Food Research International,10.1016/j.foodres.2014.02.001,2014,Food and nutrition,Silymarin,Silybum marianum L. Gaertn
291,"Phytochemical, Phytotherapeutical and pharmacological study of momordica dioica",Talukdar S.N.; Hossain M.N.,Evidence-based Complementary and Alternative Medicine,10.1155/2014/806082,2014,Food and nutrition,"Kakrol, spiny gourd or teasle gourd",Momordica dioica
292,Citrus residues: A potential source of phenolics with high antioxidant values,Sultana B.; Anwar F.; Mushtaq M.; Alim M.,International Food Research Journal,,2015,Food and nutrition,"Lemon,  galgal ","Citrus limon, Citrus pseudolimon"
293,Potential of some neglected european annual legume crops for forage production,Miki? A.; Mihailovi? V.,Quantitative Traits Breeding for Multifunctional Grasslands and Turf,10.1007/978-94-017-9044-4_22,2014,Food and nutrition,Faba bean,
294,Nutritional components and antioxidants of two species of guaje (Leucaena spp.): An underutilized traditional resource; [Componentes nutricionales y antioxidantes de dos especies de guaje (Leucaena spp.): Un recurso ancestral subutilizado],Román-Cortés N.; Del Rosario García-Mateos M.; Castillo-González A.M.; Sahagún-Castellanos J.; Jiménez-Arellanes A.,"Revista Chapingo, Serie Horticultura",10.5154/r.rchsh.2013.07.023,2014,Food and nutrition,"Red guaje , Green guaje","L. esculenta Benth, L. leucocephala Lam."
